"T","RH","AH","CO","NOx","NO2","O3"
19.6,60.7,1.3713,7.3,738,148,1820
22.6,51.4,1.392,5.3,665,161,1807
25.8,44.2,1.4512,4.4,598,191,1704
28.5,39,1.4928,3.1,340,158,1270
30.1,35.1,1.4782,3.3,374,157,1265
29.4,36.4,1.4718,3.8,401,188,1226
29.2,37.9,1.5116,2.3,275,143,987
30.5,34.9,1.5015,2.6,278,152,1024
31.5,31.4,1.431,3.2,342,168,1127
31.2,31.4,1.3987,5,479,205,1442
28.5,37.2,1.4282,5.6,553,204,1639
26.7,42.3,1.4618,5.4,531,210,1624
24.8,49,1.5092,4.4,428,173,1454
23.6,53.6,1.5374,2.4,229,123,1138
23,55.8,1.548,1.5,145,92,951
22.1,58.4,1.5393,1.3,112,77,864
22.6,56.3,1.5233,1.1,99,74,868
21,61.3,1.5031,1,98,74,825
23,54,1.501,0.6,54,47,626
19.8,65.3,1.4894,0.5,-200,-200,605
18.3,70.8,1.4794,0.6,59,44,822
18.1,72.5,1.4876,0.8,162,69,905
18.3,71,1.4807,1.5,268,79,1075
18.5,68.9,1.4565,4.1,531,108,1541
20.1,62.7,1.461,5.5,517,119,1749
23.5,52,1.4833,5.5,701,165,1798
26.8,42.7,1.4864,3.7,510,172,1584
29.1,36.7,1.4543,3.3,415,180,1441
30.8,32,1.4014,2.5,243,130,1093
27.9,37,1.372,2.6,267,120,1019
28.5,37.3,1.4291,2.2,233,117,944
30.2,32.9,1.3865,2.6,295,141,1046
32.9,27.7,1.3622,2.9,309,151,1089
32.2,28.8,1.3624,5,506,218,1537
28.8,39,1.5203,5.1,479,213,1566
26.7,43.3,1.4881,5.2,460,194,1510
24.6,54,1.6461,3.8,363,167,1300
23.4,59.9,1.6992,2.2,213,115,1058
22.5,62.6,1.6883,2.1,183,98,1002
22.9,62,1.7127,1.8,163,93,923
22.2,64.9,1.719,1.6,152,87,836
21.4,68.5,1.7261,1.4,104,71,779
22.2,63,1.6673,0.8,61,49,678
22.4,59.9,1.6069,0.5,-200,-200,601
21.1,63.8,1.5817,-200,54,44,593
22.9,57.5,1.5879,0.5,84,58,670
21.3,63.2,1.5794,0.9,132,66,837
21.3,63.5,1.5941,3.2,422,112,1400
23.7,54.4,1.5765,2.8,282,104,1393
25,50.8,1.5903,2.7,293,103,1415
26.3,48.1,1.6199,2.4,334,118,1285
26.4,47.3,1.6006,2.7,324,129,1230
29.3,39.5,1.5855,2.8,294,127,1147
29,39.6,1.5581,2.9,273,130,1107
29.8,38,1.5642,2.6,275,130,1068
30.4,37.2,1.588,2.6,282,118,1115
31.5,34.9,1.5903,3.2,323,146,1362
31.6,34.8,1.5925,4.6,442,190,1619
29,40.5,1.5949,4.9,431,189,1572
27.2,45.9,1.6302,4.7,402,173,1446
26.2,48.7,1.6256,3.3,313,148,1233
25.1,50.5,1.584,2.3,228,116,1102
24.1,50.7,1.4959,2.1,218,109,1028
22.5,53.7,1.4486,1.7,179,94,942
22.7,53.7,1.458,1,97,64,773
21.5,57.9,1.4658,0.9,83,59,737
22.3,55.8,1.4828,0.7,80,64,815
22.7,53.8,1.4673,0.4,-200,-200,627
21.1,59.9,1.4789,0.4,66,52,642
20.4,63,1.4946,0.5,109,55,610
20.8,62.2,1.5119,1.3,232,83,929
21.3,61.6,1.5452,3.5,535,114,1427
21.9,60.2,1.56,5.5,684,137,1776
23,56.4,1.5614,5.6,803,160,1788
25.1,49.5,1.5572,3.4,539,138,1521
26.6,44.3,1.5229,3.2,364,134,1293
26.2,46,1.5422,3.7,422,143,1435
25.4,48.7,1.5594,4.6,483,153,1592
25.6,48.3,1.558,4.2,496,145,1551
25.7,47.8,1.5548,3.3,403,123,1429
24.9,49.2,1.5251,2.7,282,96,1195
18.3,75.4,1.5682,2.2,268,107,981
16.3,73.9,1.3601,2.8,306,119,962
15.6,75.7,1.3345,2.9,293,109,914
15.4,76.6,1.3334,2,240,107,785
14,75.4,1.1988,0.7,93,57,482
14.9,60.5,1.0213,0.6,99,60,446
15.5,50.9,0.888,1.2,55,22,553
15.6,50,0.8773,1.2,19,2,592
15.4,53.6,0.9326,1.1,26,7,584
15.4,53.9,0.9334,0.6,26,8,451
15.3,52.4,0.9017,0.3,-200,-200,382
15.3,53.1,0.9181,0.3,42,27,391
15.4,53.7,0.9295,0.3,32,14,398
15.5,53.3,0.9308,0.4,25,3,430
15.4,52.7,0.9178,0.6,28,9,461
15.7,51.1,0.9056,0.7,41,14,500
16.9,47.7,0.9142,1,130,52,594
18.2,41.9,0.8674,1.1,173,64,603
19.1,37,0.8104,1.5,168,66,686
19.3,34.8,0.771,1.4,51,14,622
19.8,31.2,0.7127,1.4,31,9,624
19.8,31.1,0.7104,1,41,12,565
20.2,28.6,0.6717,0.9,41,14,514
22.1,24.8,0.6514,1.1,54,21,536
21.1,27.7,0.6853,1.3,112,43,669
20.1,30.3,0.7045,1.8,178,62,786
19.5,33,0.7384,2.4,218,68,891
19.3,32.3,0.7163,2.7,241,81,926
18.4,33.2,0.6975,1.7,223,88,902
17.8,36.5,0.7366,2.2,279,99,1011
17.8,39.9,0.8035,2.8,330,98,1249
17,43,0.8242,2.4,330,97,1133
15.5,52.2,0.9136,2.5,341,101,1166
15.6,51.9,0.9135,1.4,205,90,953
13.5,59.4,0.9176,1.4,-200,-200,912
13.4,59.9,0.9173,-200,130,61,831
12.5,63.2,0.9146,0.9,102,55,793
13.6,57.6,0.8941,0.6,79,46,700
12.2,63.2,0.8964,1,148,56,780
14.6,56.4,0.9319,1.6,261,83,931
19.8,38.6,0.8831,0.9,107,55,575
21.6,33.4,0.8519,0.9,103,47,507
22,32.2,0.8407,1,122,61,518
22.7,30.2,0.8217,1,127,58,518
22.3,30.4,0.8063,0.9,110,59,516
22.1,30.5,0.7981,0.9,98,54,507
22.1,29.5,0.7761,0.9,146,69,490
23.4,27.1,0.7681,0.9,119,54,465
23.1,27,0.7538,2.7,234,95,781
21.5,31.4,0.7943,2.2,261,99,765
20.3,35.5,0.833,3.3,371,127,1006
19.6,36.3,0.8193,2.1,266,98,798
18.7,39.7,0.8482,1.8,268,112,938
18,42.7,0.8745,1.9,294,115,996
17.1,47.6,0.9208,2.3,303,114,1109
16.6,51.3,0.9634,1.9,241,103,1042
15.9,55.2,0.9881,1.3,142,81,940
14.9,58.9,0.9891,1,110,75,900
14.1,61,0.9799,0.6,-200,-200,774
14,62.6,0.9948,0.6,104,64,790
14.1,61.7,0.9844,0.9,179,71,908
14.4,60.3,0.9802,1.5,361,99,1035
15,57.7,0.9778,5.5,799,132,1556
16.9,50.3,0.958,4,614,135,1392
19.7,40.2,0.9108,1.8,275,94,904
22.2,33.6,0.8886,1.9,325,103,936
23.7,29.6,0.8537,1.7,327,123,907
21.9,30.7,0.7961,1.6,252,95,744
22.3,29.5,0.7838,1.9,226,90,773
23.8,27,0.7845,1.6,230,99,812
23.3,28.3,0.8012,1.8,244,107,856
24.2,27.2,0.8128,2,251,112,927
25.1,25.8,0.8065,3.1,346,132,1131
22.3,29.2,0.7773,3.9,407,148,1270
20.8,32.5,0.7873,4.3,490,158,1365
19.1,36.8,0.8066,3.5,434,145,1274
18.1,39.9,0.8232,2.4,345,128,1169
17.4,42.8,0.8463,1.5,192,105,1000
16.7,46.6,0.8793,1.3,157,90,910
17.1,46.8,0.9054,1,148,85,829
15.3,51.9,0.8982,0.8,105,73,756
15,52.8,0.8929,0.5,141,74,742
14.4,54.5,0.8887,0.4,-200,-200,686
12.8,59.8,0.8801,0.5,107,61,677
11.9,62.7,0.8726,0.7,166,69,748
12.1,62.6,0.8825,1.2,241,82,890
13.5,58.2,0.8944,2.4,368,120,1155
14.4,55.7,0.9087,4.3,498,135,1533
17.8,45.7,0.9224,4.1,641,152,1550
21,37.2,0.9155,3.7,667,177,2236
24.5,29.8,0.9008,3.4,550,181,2178
26.4,26.4,0.8969,3.8,483,176,1901
25.2,26.8,0.8451,4.1,524,163,1743
26.1,24.8,0.8283,3.4,481,174,1502
26.2,24.4,0.8174,2.3,305,117,1153
28.9,21.3,0.8382,3.2,396,145,1287
28,23.3,0.8681,4.8,501,173,1547
24.7,27.9,0.8559,6.7,702,204,1842
23,33.6,0.9302,7.5,755,209,1908
20.9,45.8,1.1159,4.5,524,175,1693
19.8,48.6,1.113,2.1,247,129,1336
19.8,47.7,1.0885,1.5,196,111,1177
18.6,49.1,1.0435,1.1,135,85,977
17.2,53.9,1.0498,1.1,146,86,974
16.3,56.8,1.047,0.9,106,71,872
17.4,53.4,1.0541,0.5,70,60,734
15.5,58.8,1.0309,0.4,-200,-200,668
14.6,62.1,1.0236,-200,62,48,698
17.1,52.5,1.013,0.4,60,45,650
15.2,58.3,0.9986,0.7,92,53,749
14.9,59.2,0.9985,2,277,94,1106
15.1,59,1.0086,4.2,600,122,1609
19,47.8,1.0434,5.2,693,170,1770
22.4,38.8,1.04,3.8,617,174,1633
25.4,33.3,1.0679,3.7,569,191,1583
27.2,30.4,1.081,3.4,409,179,1449
25.5,34.8,1.1152,3.1,335,148,1451
26.4,28.5,0.9658,2.4,290,129,1147
27.7,25.1,0.9158,2.8,312,148,1108
28.6,23.2,0.8917,3.6,440,184,1267
27.2,26.3,0.9317,4,450,188,1303
25.3,33,1.0473,5.6,578,204,1643
23.2,36.9,1.0346,6.3,615,201,1749
21.6,43.3,1.1019,4.7,536,165,1585
21.1,44.8,1.1088,1.9,238,133,1315
19.7,49.3,1.1148,1.9,249,125,1290
20.3,47.8,1.1281,1.2,150,101,1059
19.4,50.3,1.1201,0.9,108,79,943
18.3,53.1,1.1056,-200,-200,-200,913
17.5,56.1,1.1103,-200,-200,-200,720
19.2,50.3,1.1087,-200,-200,-200,640
16.6,59.6,1.117,-200,-200,-200,779
17.5,57.1,1.1311,-200,-200,-200,850
17.6,57.6,1.1471,-200,-200,-200,1020
18,57,1.1665,-200,-200,-200,1605
18.5,55.9,1.1779,-200,-200,-200,1866
18.6,57.2,1.2146,-200,-200,-200,1621
20.2,53,1.2407,-200,-200,-200,1712
21.3,50.1,1.2539,-200,-200,-200,1770
24.6,42.8,1.3053,1.7,-200,-200,1175
24.6,44.1,1.3477,1.7,223,101,1157
25.6,43.4,1.4049,2.2,267,113,1219
26.1,42.6,1.4172,2.8,308,121,1288
25.8,44.8,1.4644,3.9,422,146,1503
25.4,47.9,1.5346,6.5,623,188,1861
24.6,50,1.5241,6.3,572,182,1781
23.6,54.4,1.5687,5.7,514,166,1745
22.6,59.5,1.6155,4.4,414,142,1590
22.1,61.3,1.6133,1.6,143,84,1127
22.1,61.3,1.6053,1.5,147,87,1098
21.1,64.7,1.5956,1.7,159,91,1176
20.3,66.4,1.5591,1.9,206,91,1178
19.4,69.3,1.5418,1.6,140,74,1091
19,70.8,1.5417,1.3,132,69,1002
20.2,65.8,1.5442,0.8,-200,-200,876
19.8,67.2,1.5322,0.6,81,54,824
19,70.3,1.5308,0.7,120,60,892
18.8,71.8,1.5372,1.6,279,69,1092
20.2,66.3,1.555,2.9,392,91,1413
20.8,64.3,1.563,4.1,433,97,1565
22.3,59.3,1.5705,3.7,531,114,1594
23.2,56.6,1.5929,3.6,619,129,1677
23.8,54.7,1.587,3.4,522,137,1616
23.5,56.2,1.6048,3.7,505,134,1610
23.9,54.4,1.5963,4.1,465,132,1614
-200,-200,-200,3.2,383,123,-200
25.4,47.4,1.517,2.4,278,105,1286
26.4,45.4,1.54,3.4,372,136,1487
25.8,46.9,1.5375,5.6,540,169,1703
25.3,49.6,1.5805,-200,-200,-200,1773
24.2,54.3,1.6117,-200,-200,-200,1848
22.8,58.1,1.5951,-200,-200,-200,1550
21.5,63.2,1.5993,-200,-200,-200,1350
21.3,63,1.5798,-200,-200,-200,1235
20.8,64.1,1.554,-200,-200,-200,1162
20.6,64,1.5346,-200,-200,-200,1211
20.6,63.4,1.519,-200,-200,-200,1097
20.4,64.4,1.522,-200,-200,-200,1021
21.3,61,1.529,-200,-200,-200,913
20.5,64,1.5247,-200,-200,-200,909
20.3,65.3,1.5321,-200,-200,-200,983
20.1,65.9,1.5321,-200,-200,-200,1024
20.2,65.6,1.5368,-200,-200,-200,1243
21.1,62.8,1.5481,-200,-200,-200,1253
22.5,57.5,1.5518,-200,-200,-200,1240
24.2,51.9,1.5426,-200,-200,-200,1155
25.2,48.9,1.5437,-200,-200,-200,1193
25.8,47.8,1.5662,-200,-200,-200,1153
25.7,49.2,1.5988,-200,-200,-200,1034
25.8,49.6,1.6213,-200,-200,-200,870
25.7,48.8,1.5913,-200,-200,-200,890
26.5,45.9,1.5626,-200,-200,-200,946
25.4,48.9,1.565,-200,-200,-200,1033
24.4,52.5,1.583,-200,-200,-200,1107
23.9,54.6,1.5936,-200,-200,-200,1395
22.9,57.9,1.5958,-200,-200,-200,1342
22.1,61.1,1.6012,-200,-200,-200,1152
20.8,65.6,1.5898,-200,-200,-200,1128
21.7,60.8,1.563,-200,-200,-200,1104
21.1,62.8,1.5505,-200,-200,-200,1055
20.7,63.2,1.524,-200,-200,-200,904
21.2,61.5,1.5241,-200,-200,-200,835
20.3,64.6,1.518,-200,-200,-200,781
20.2,64.4,1.5035,-200,-200,-200,761
20.1,65.3,1.5153,-200,-200,-200,742
19.9,66,1.5141,-200,-200,-200,779
19.8,66.4,1.5145,-200,-200,-200,894
20.4,64.1,1.5178,-200,-200,-200,927
21.6,60.8,1.5496,-200,-200,-200,1034
23.5,54.5,1.5553,-200,-200,-200,1217
25.7,46.6,1.5105,-200,-200,-200,1093
26.6,43.7,1.5031,-200,-200,-200,1073
27.4,41.8,1.5056,-200,-200,-200,969
27.4,42.8,1.5344,-200,-200,-200,777
27.1,43.3,1.5255,-200,-200,-200,743
26.9,44.4,1.551,-200,-200,-200,777
26.9,44.4,1.5538,-200,-200,-200,819
24.7,51.9,1.5868,-200,-200,-200,1056
23.7,55.6,1.6074,-200,-200,-200,1481
22.7,59.6,1.6261,-200,-200,-200,1590
21.9,61.4,1.5946,-200,-200,-200,1211
22,59.8,1.562,-200,-200,-200,1052
20.5,64.9,1.5473,-200,-200,-200,1000
19.8,66.9,1.5277,-200,-200,-200,874
18.4,71.6,1.4997,-200,-200,-200,852
18.9,68.6,1.4818,-200,-200,-200,728
17.8,72.3,1.4546,-200,-200,-200,713
17.1,73.9,1.4262,-200,-200,-200,734
17.7,70.3,1.4088,-200,-200,-200,777
17.1,71.8,1.3936,-200,-200,-200,815
18.3,67.5,1.4044,-200,-200,-200,1002
18.5,67,1.4135,-200,-200,-200,1302
19.9,61.7,1.4193,-200,-200,-200,1542
22.9,52.6,1.4519,-200,-200,-200,1571
24.2,49,1.4586,-200,-200,-200,1614
25.8,44.7,1.459,-200,-200,-200,1583
26,44.5,1.4731,-200,-200,-200,1285
27.1,40.2,1.4217,-200,-200,-200,1094
27.4,39.8,1.4318,-200,-200,-200,1113
28.9,36.3,1.4291,-200,-200,-200,1395
28.4,37.5,1.4251,-200,-200,-200,1620
26,43.9,1.4562,-200,-200,-200,1882
24.3,49.6,1.486,-200,-200,-200,2006
23.3,53,1.4939,-200,-200,-200,1643
22.6,55.1,1.4899,-200,-200,-200,1239
21.2,59.3,1.4787,-200,-200,-200,1121
20.6,60.9,1.4642,-200,-200,-200,1012
20,63.1,1.4592,-200,-200,-200,961
19.7,63.4,1.4383,-200,-200,-200,825
20.8,58.8,1.4305,-200,-200,-200,703
17.8,69.8,1.4058,-200,-200,-200,752
18.8,65.3,1.4023,-200,-200,-200,741
17.6,69.5,1.3889,-200,-200,-200,786
17.4,69.7,1.3714,-200,-200,-200,952
17.4,70.1,1.3783,-200,-200,-200,1601
18.5,65.5,1.3787,-200,-200,-200,1621
20.6,58.5,1.4054,-200,-200,-200,1622
23.9,48.7,1.4269,-200,-200,-200,1759
26,43.8,1.4499,-200,-200,-200,1666
28.6,37.3,1.4423,-200,-200,-200,1918
27.9,38,1.4029,-200,-200,-200,1525
28.4,37.6,1.4282,-200,-200,-200,1332
28.5,37.3,1.4329,-200,-200,-200,1183
30.8,31.8,1.3908,-200,-200,-200,1414
29.7,33.1,1.3546,-200,-200,-200,1680
27,40.2,1.4158,-200,-200,-200,2004
25.6,47.5,1.539,-200,-200,-200,2094
23.9,57.2,1.6774,-200,-200,-200,1780
22.7,60.8,1.6582,-200,-200,-200,1640
21.8,59.9,1.5492,-200,-200,-200,1379
22.4,58.3,1.561,-200,-200,-200,1139
21.7,60.2,1.5442,-200,-200,-200,1001
21.2,61.4,1.5258,-200,-200,-200,910
19.3,68.4,1.513,-200,-200,-200,895
19.8,65.1,1.49,-200,-200,-200,805
20,62.9,1.4495,-200,-200,-200,761
18.3,68.5,1.4291,-200,-200,-200,805
18.1,68.5,1.4067,-200,-200,-200,894
17.6,70.5,1.4057,-200,-200,-200,1439
18.3,67.8,1.4091,-200,-200,-200,1706
20.4,61.2,1.447,-200,-200,-200,1756
22.5,55.6,1.499,-200,-200,-200,1493
25.7,46.4,1.507,-200,-200,-200,1567
26.8,44.6,1.5467,-200,-200,-200,1376
26,46.4,1.5414,-200,-200,-200,1399
26.3,46,1.5478,-200,-200,-200,1293
27.4,43.9,1.5811,-200,-200,-200,1348
29.6,36.7,1.4936,-200,-200,-200,1314
28.7,37.3,1.4486,-200,-200,-200,1507
25.7,44.1,1.4331,-200,-200,-200,1660
24.5,49.5,1.5022,-200,-200,-200,2143
23.3,54.4,1.5386,-200,-200,-200,1968
22.4,57.9,1.5449,-200,-200,-200,1490
22.7,55.8,1.5218,-200,-200,-200,1249
20.4,62.4,1.4758,-200,-200,-200,1265
20.3,64.2,1.5063,-200,-200,-200,1181
21.4,60.6,1.5236,-200,-200,-200,954
20.3,66.3,1.5657,-200,-200,-200,875
20.9,62.2,1.5182,-200,-200,-200,838
19.9,66.1,1.5198,-200,-200,-200,825
19.8,67.1,1.5305,-200,-200,-200,882
20.1,64.4,1.4967,-200,-200,-200,990
19.7,66.4,1.5035,-200,-200,-200,1423
20.9,62.4,1.5226,-200,-200,-200,1823
22.5,57,1.5314,-200,-200,-200,1581
23.5,53.4,1.5241,-200,-200,-200,1500
24.7,48.2,1.4802,-200,-200,-200,1268
27.1,40.9,1.4405,-200,-200,-200,1230
25.9,44.2,1.4576,-200,-200,-200,1204
26.9,41.8,1.4555,-200,-200,-200,1205
27.2,40.7,1.4481,-200,-200,-200,1103
28.6,37.6,1.4468,2.9,267,87,1195
28,38.5,1.437,5.4,398,111,1618
25.2,45.8,1.4464,5.3,418,119,1637
24,50.6,1.4892,6.7,515,128,1876
23.2,54.7,1.5296,7,669,117,1959
22.3,57.1,1.5219,2.8,326,92,1477
21.8,58.2,1.5036,1.7,209,73,1210
20.9,61.3,1.4923,1.7,183,60,1160
20.6,62,1.4827,1.7,165,60,1116
20.3,62.5,1.472,1.2,111,53,974
20.5,62.1,1.4771,0.7,67,47,820
18.7,68.5,1.4586,0.7,-200,-200,792
18.2,70.3,1.4498,0.8,88,43,839
18.2,70.1,1.4552,0.9,147,47,898
18.2,70,1.4519,1.7,279,50,1096
19.4,66.5,1.4801,5.7,665,81,1786
19.5,66.9,1.4999,4.3,592,75,1604
21.1,61.1,1.5056,3.9,557,87,1637
23.2,54.7,1.5349,5.1,693,128,1827
24.4,52.5,1.5807,3.7,530,105,1641
26.4,45.8,1.553,3.3,412,101,1505
27.7,39.2,1.4356,3.6,366,100,1465
28,39.6,1.4738,3.2,344,98,1368
28.7,38.4,1.486,3.5,339,98,1748
28.5,39.4,1.5147,2.4,297,98,1301
28.4,39.8,1.5191,2.9,294,90,1338
26.4,45.9,1.5572,2.3,211,84,1337
25.2,49.5,1.5665,3.1,323,101,1516
24.9,50.9,1.5856,2.9,333,98,1435
24.6,52.2,1.5951,1.5,163,76,1178
24,54.4,1.6049,1.5,151,71,1111
23.8,56.1,1.6298,1.7,167,71,1112
22.3,60.6,1.608,1.6,174,66,1109
21.9,61.5,1.5967,1.3,142,62,1072
21.1,64.5,1.594,1.4,155,58,1030
21,64.4,1.5828,0.9,-200,-200,935
21.3,63.9,1.5951,0.9,96,48,922
20.8,66.7,1.6201,1.3,154,53,1054
20.6,67.5,1.621,1.3,211,55,1082
20.9,66.3,1.6165,2.9,381,63,1365
21.5,63.7,1.6186,3.2,470,69,1497
23.7,56,1.6238,3.4,464,84,1540
26,48.2,1.598,3.6,450,95,1554
28.5,42.4,1.6286,2.3,274,80,1252
28.1,45.3,1.6957,3.1,306,87,1455
29,43.9,1.7309,3.3,308,94,1339
28.9,44.3,1.7392,1.9,186,76,1062
29.6,42.3,1.7248,2.6,238,92,1266
29.4,42.9,1.7308,2.7,249,94,1223
28.7,45.1,1.7468,3.7,378,110,1469
27,51.2,1.7928,3.8,386,109,1553
26.5,52.7,1.7966,4.8,461,122,1689
26.2,51.7,1.7334,3.5,394,107,1387
24.8,56.4,1.7447,2.2,266,83,1139
24.9,56,1.7367,1.5,158,62,960
24.5,57.5,1.7433,3.4,319,89,1293
24.7,56.9,1.7438,3.7,409,103,1357
23.9,59.2,1.7327,2,223,74,1103
23.8,60.2,1.7515,1.4,107,52,857
23.5,61.3,1.7538,1.1,-200,-200,658
22.8,64,1.7507,-200,50,38,549
22.2,65.6,1.7355,0.7,56,39,627
21.3,69.1,1.7275,1.2,163,59,930
21.3,68.2,1.7127,1.3,187,56,1001
22.2,65.2,1.7256,1.1,150,51,917
24.1,59,1.7449,1,103,51,834
24.3,61.6,1.8468,1.2,143,58,796
24.8,59.6,1.8351,1.9,220,68,1040
24.5,58.8,1.7838,2.3,301,81,1110
21,76.8,1.8881,1.6,214,73,836
19.8,78,1.7879,1.3,162,69,704
19.4,80.5,1.7917,1.8,232,81,773
19.6,79.1,1.7877,1.7,254,82,811
20.8,73.1,1.7695,1.8,224,71,848
21.1,68.6,1.7014,2,247,81,892
21.1,68.3,1.6914,2.2,334,87,992
21.2,67.7,1.6848,1.6,239,72,950
20.8,68.6,1.6719,1.3,168,63,882
20.8,68.1,1.6585,1.5,185,63,883
20.7,68.4,1.6507,1.5,178,63,892
20.1,70.5,1.6384,1.3,132,55,836
20.2,67.9,1.5901,1.4,135,52,837
19.4,70.4,1.5663,0.5,39,32,498
18.8,73.8,1.5885,0.4,-200,-200,494
17.9,77.7,1.5795,0.4,33,29,507
18.2,76.9,1.5945,0.6,90,44,660
18.6,74.9,1.5918,1.1,164,53,902
19.6,70.3,1.5821,2.9,336,62,1240
20.2,66.6,1.5567,3.5,366,68,1395
19.7,68.9,1.5638,4.6,565,85,1625
19.2,73.4,1.6192,3.4,536,88,1359
20,69.6,1.607,2.3,416,82,1152
21.1,64,1.5795,2.7,379,91,1159
20.2,67.4,1.5832,3.1,368,87,1179
20.2,68.9,1.6074,3.2,444,90,1227
21.9,57.6,1.4942,2.5,352,97,1119
23.2,52,1.4642,3.4,375,99,1243
21.7,59.1,1.5115,4.8,479,109,1449
20.8,61.4,1.4898,4.5,448,95,1405
19.9,64.2,1.4711,4,388,80,1444
19.7,65.1,1.4769,3.2,376,76,1386
20,63.3,1.4672,1.9,224,62,1102
19,66.1,1.4415,1.9,206,57,1041
18.8,60.9,1.3032,1.3,143,57,881
18.9,60.7,1.311,1.1,113,54,791
18.1,65.2,1.343,1,93,50,796
18.3,65.1,1.3529,0.5,58,44,647
18.3,66.9,1.3952,0.6,-200,-200,716
17.8,67.5,1.3674,0.5,56,34,719
16.9,66.7,1.2772,0.8,105,44,733
17.8,60.6,1.2276,1.2,243,74,835
17.6,60.8,1.2151,2.7,492,101,1094
17.9,57.8,1.1751,3,435,103,1114
18.1,56.4,1.1645,-200,-200,-200,903
18.2,55.9,1.1547,-200,-200,-200,914
19.7,49.1,1.1148,-200,-200,-200,872
20.8,45.8,1.1126,-200,-200,-200,860
20.5,46,1.1,-200,-200,-200,959
18.9,50.6,1.0927,-200,-200,-200,814
18.4,51.6,1.0832,-200,-200,-200,827
17.9,52.6,1.0711,-200,-200,-200,804
17.1,54.2,1.0503,-200,-200,-200,906
16.5,56.2,1.0455,-200,-200,-200,958
16.7,54.1,1.0212,-200,-200,-200,1032
15.4,57.7,1.0008,-200,-200,-200,772
15.5,57.1,0.9971,-200,-200,-200,618
15.6,55.9,0.985,-200,-200,-200,614
14.8,58.4,0.9777,-200,-200,-200,550
14.8,57.9,0.9662,-200,-200,-200,511
14.6,57.6,0.9517,-200,-200,-200,469
14.6,57.1,0.9428,-200,-200,-200,425
14.4,57.6,0.9416,-200,-200,-200,394
14.5,57.4,0.9413,-200,-200,-200,392
14.3,58.4,0.9501,-200,-200,-200,408
14.7,57.4,0.9564,-200,-200,-200,517
14.3,58.1,0.9404,-200,-200,-200,750
14,58.3,0.9294,-200,-200,-200,787
15.4,53.2,0.9246,1.5,286,78,788
16.5,49.9,0.9289,1.2,281,72,760
17.4,47.6,0.9387,-200,-200,-200,839
18,46.1,0.9401,-200,-200,-200,827
17.9,46.5,0.9474,-200,-200,-200,765
17.4,48.3,0.955,-200,-200,-200,814
16,52.6,0.9489,-200,-200,-200,737
15.3,58.7,1.0154,-200,-200,-200,875
15.2,55.9,0.9572,-200,-200,-200,983
14.8,56.3,0.9459,-200,-200,-200,942
14.7,57.8,0.9626,-200,-200,-200,971
14.8,57.3,0.9603,-200,-200,-200,891
14.9,57.1,0.9581,-200,-200,-200,724
15.2,55.5,0.9521,-200,-200,-200,719
15.3,55.4,0.9564,-200,-200,-200,705
15.1,56.9,0.9673,-200,-200,-200,718
15,56.4,0.9554,-200,-200,-200,584
14.9,56.4,0.9474,-200,-200,-200,469
15.2,54.7,0.9394,-200,-200,-200,438
15.1,55.4,0.9439,-200,-200,-200,432
14.9,56.8,0.9541,-200,-200,-200,487
15.2,55.9,0.9589,-200,-200,-200,655
15.3,56.3,0.9684,-200,-200,-200,1009
15.6,55.4,0.9725,-200,-200,-200,1113
16.3,53.3,0.9809,-200,-200,-200,1030
20.4,42.2,0.9964,-200,-200,-200,986
21.9,39.4,1.0234,-200,-200,-200,975
21.5,41.2,1.0399,-200,-200,-200,984
22.2,41.4,1.097,-200,-200,-200,982
21,46.8,1.1508,-200,-200,-200,1117
21.9,44.9,1.1635,-200,-200,-200,1177
21.5,46.7,1.1837,-200,-200,-200,1129
19.7,56.6,1.2811,-200,-200,-200,1217
18.8,60.8,1.3036,-200,-200,-200,1234
19.3,59.6,1.3195,-200,-200,-200,1412
17.6,69.2,1.3803,-200,-200,-200,1350
16.4,77.1,1.4243,-200,-200,-200,968
16.6,77.3,1.4491,-200,-200,-200,759
15.9,78.1,1.4039,-200,-200,-200,741
15.1,82.3,1.4009,-200,-200,-200,866
14.8,83.8,1.4005,-200,-200,-200,757
14.4,84.6,1.3794,-200,-200,-200,675
15.8,77.6,1.3792,-200,-200,-200,624
15.2,79.4,1.3605,-200,-200,-200,605
14.8,81.9,1.3735,-200,-200,-200,703
14.6,82.9,1.3706,-200,-200,-200,998
14.8,80.4,1.3428,-200,-200,-200,1311
15.6,77.1,1.3527,-200,-200,-200,1403
17.3,70.9,1.3876,-200,-200,-200,1573
22.2,51.3,1.3543,-200,-200,-200,1354
24.4,43.9,1.3184,-200,-200,-200,1131
22.7,47.6,1.2989,-200,-200,-200,1113
20.5,61.5,1.4673,-200,-200,-200,1258
23.3,40.4,1.1421,-200,-200,-200,985
23.2,39.9,1.1172,-200,-200,-200,1197
21.5,44.5,1.129,-200,-200,-200,1402
20.9,48.5,1.1878,-200,-200,-200,1491
19.8,53.1,1.216,-200,-200,-200,1396
20.1,53.6,1.2477,-200,-200,-200,1198
19.6,56,1.2623,-200,-200,-200,1166
18.6,60.4,1.2817,-200,-200,-200,752
14.5,78.3,1.288,-200,-200,-200,717
16.3,70.5,1.2921,-200,-200,-200,693
14.1,83.8,1.346,-200,-200,-200,816
14.5,81.3,1.3399,-200,-200,-200,766
